coding,beta,se,pvalue,n,-Log10P,protein
1562,-0.0132908089700242,0.00978136638538528,0.17422294095615,32797,0.758894659462197,LCN15
1563,-0.0716623000710841,0.0098529937407155,3.58482954464878e-13,35343,12.4455314898088,LCN2
1564,-0.0116578002690617,0.00979359725497742,0.233917790280534,32857,0.63093674729364,LCP1
1565,-0.084544790432135,0.0101017964226483,5.99970327811216e-17,36669,16.2218702275939,LDLR
1566,-0.0340627943755833,0.00997104118421772,0.000635850721206465,32797,3.19664483178223,LDLRAP1
1567,-0.0579890232856371,0.00854164884215476,1.14854501256228e-11,32843,10.9398519797251,LECT2
1568,0.0314127154245376,0.0103000182442479,0.00229177327001378,36811,2.63982835025288,LEFTY2
1570,-0.00244530143736817,0.00987827534787131,0.80448934044663,31801,0.0944797059662915,LELP1
1571,-0.0543399294545537,0.00998082975181896,5.23440554263238e-08,32797,7.28113263284163,LEO1
1572,-0.147393255902561,0.0054766427478362,5.44740320255945e-158,36445,157.263810478194,LEP
1573,0.067989034105137,0.0101889950818703,2.54573009478984e-11,36445,10.5941876433207,LEPR
1574,-0.0442905995562405,0.0099051446951463,7.79426380449201e-06,32797,5.10822489917249,LETM1
1575,-0.0726822203394156,0.0098750786658245,1.8755241099935e-13,36445,12.7268773485915,LGALS1
1576,0.0225810924171092,0.0101881971519679,0.026670451748916,36492,1.57396962808966,LGALS3
1577,-0.106190083270391,0.00937648115906216,1.11826269590782e-29,32862,28.9514561624766,LGALS3BP
1578,-0.0894551137137113,0.0102404781475626,2.52843831856137e-18,36454,17.597147636548,LGALS4
1579,-0.0331772567552439,0.0101362767903602,0.00106466125889281,36439,2.97278854883984,LGALS7_LGALS7B
1580,-0.0497680460755924,0.0109948209834,6.01565118024728e-06,36821,5.22071735441206,LGALS8
1581,-0.07345673756839,0.00936507037116631,4.49354945884565e-15,36465,14.3474104738275,LGALS9
1582,-0.077921307738641,0.0106980374593034,3.31313917430566e-13,36650,12.4797603204225,LGMN
1583,-0.000666161259964981,0.00988133984270632,0.946250839179524,35870,0.0239937223390307,LHB
1584,-0.0366413370494897,0.010649908144074,0.00058122351757216,36519,3.23565682151582,LHPP
1585,-0.0448053844168413,0.0105873826178974,2.32239503994139e-05,35810,4.63406390472047,LIF
1586,0.0130454925494276,0.0107362982231257,0.224342334470653,36488,0.649088765239315,LIFR
1587,-0.0463814319621245,0.0102328947599227,5.84516741826042e-06,36559,5.23320304518899,LILRA2
1588,-0.0196924308569988,0.00987414668224931,0.046122884740376,32857,1.33608353772497,LILRA3
1589,0.0111725457039276,0.00986061440254912,0.257202808632349,31774,0.589724293263869,LILRA4
1590,-0.0717804646381827,0.0100373354717511,8.75486785687832e-13,36394,12.0577504046304,LILRA5
1591,-0.0365304400451935,0.00995704880112924,0.000244075005414403,32843,3.61247669238285,LILRA6
1592,-0.048207486871004,0.010594191631892,5.37226273139342e-06,36846,5.26984275624081,LILRB1
1593,-0.0512065915069045,0.0106001264369854,1.36566364721294e-06,36673,5.86465625098146,LILRB2
1594,-0.0855184981504067,0.0098235870736018,3.29608986067193e-18,35957,17.4820009567255,LILRB4
1595,0.00698073685578335,0.0109757475372807,0.524770788173471,36846,0.280030348343076,LILRB5
1596,0.00259788952833029,0.0096035563777979,0.786767147566981,32002,0.104153782876054,LIPF
1597,-0.0143119282657369,0.00981851716881454,0.14494759573856,32656,0.838788983938761,LMNB1
1598,-0.0393068301748469,0.00921684097831325,2.00753616885827e-05,32794,4.69733662149433,LMNB2
1599,0.016223772016437,0.0088206645633719,0.0658813826659893,32797,1.18123729477994,LMOD1
1600,0.00899336328208804,0.00985698194103342,0.361572959199668,31801,0.441804056375584,LMOD2
1601,-0.0488452579448572,0.0097753983737322,5.86105799607066e-07,32002,6.2320239811864,LONP1
1602,-0.00301792033261787,0.00984818569798566,0.759268376846238,32065,0.119604687896583,LPA
1603,-0.0624509005988523,0.0106674511231929,4.83000097015492e-09,36462,8.31605278201601,LPCAT2
1604,0.135914728739302,0.0093994054359954,2.93458260801632e-47,36445,46.5324536606603,LPL
1605,-0.0415994698755062,0.0102398444970961,4.8652344801125e-05,35447,4.31289622405647,LPO
1606,-0.00685859340705859,0.00987976148561915,0.487557873057092,31774,0.311973826206288,LPP
