coding,beta,se,pvalue,n,protein,-Log10P
2593,0.000152457508749138,0.00127915986742535,0.905131192804763,8206,STXBP1,0.0432884681077205
2594,0.000844244910960337,0.00131810559302624,0.521864433262942,9190,STXBP3,0.282442300699615
2595,-0.00166380734434854,0.0012794033727257,0.193481483964824,8195,SUGP1,0.713360590317783
2596,0.00191567749518755,0.00132214331042484,0.147394605056696,9190,SUGT1,0.831518412250276
2597,0.000226721327216696,0.00137999673908323,0.869505407175424,9496,SULT1A1,0.060727712914693
2598,-0.00439335582284745,0.00130165099835899,0.00074057242093544,9369,SULT2A1,3.1304324651985
2599,-0.00192344090795999,0.00127913753451409,0.13269786510274,7990,SUMF1,0.877136064185736
2600,0.00109826221893781,0.00135683068171224,0.418286995032109,9496,SUMF2,0.378525637866399
2601,-0.00335980472751283,0.00122731855007451,0.00620386598944384,8206,SUOX,2.2073375920115
2602,0.00167352129548978,0.0013309809590915,0.20865540869913,9234,SUSD1,0.680570353162953
2603,0.00168797195659803,0.00124868470069935,0.176471832060669,9416,SUSD2,0.753324605612584
2604,-0.00604380804986071,0.00122973117653723,9.06327069174934e-07,8175,SUSD4,6.04271504878589
2605,-0.00137817945882749,0.00110348931521645,0.211727877051116,7977,SUSD5,0.674221957037673
2606,-0.000452972338600514,0.00126179636646915,0.719612028030497,7998,SV2A,0.142901586205285
2607,0.00214176380628395,0.00126586313535851,0.0906956017519936,8195,SWAP70,1.04241377337159
2608,0.00192751885402047,0.00125117732866501,0.123462362396273,8036,SYAP1,0.90846541726159
2609,-0.00229331640504982,0.00127362715432015,0.0718009589198018,7962,SYNGAP1,1.14386975560732
2610,-0.00356121136891039,0.00123750242873169,0.0040156907705832,8210,SYT1,2.3962397375463
2611,0.000477571305550367,0.00128661055194559,0.710508894194256,8211,SYTL4,0.148430481177314
2612,0.00165054581232285,0.00126791323620987,0.19302837002643,8069,TAB2,0.714378856585696
2613,0.000931662613289373,0.00135472274567909,0.49164957309148,9370,TACC3,0.308344333607711
2614,0.0006376742209525,0.00120842584118493,0.597728373442237,8467,TACSTD2,0.223496128243738
2615,0.00135314566341665,0.00128310404513223,0.291645183915807,8175,TADA3,0.535145190898835
2616,-0.00606494730258625,0.00126953940689564,1.80383337504576e-06,9370,TAFA5,5.74380358189403
2617,0.00156410815113727,0.00125986656563036,0.214462613422634,7934,TAGLN3,0.668648406040647
2618,-5.80681183924688e-06,0.00125666546874357,0.996313253161595,8196,TALDO1,0.00160409256997191
2619,0.000440763820559357,0.00133550988579422,0.741381669104258,9254,TANK,0.129958156241831
2620,0.000918378134994427,0.00129928322300872,0.47968981540956,8069,TAP1,0.319039502210324
2621,0.000839890860155409,0.00131738411644862,0.52378612094896,9242,TARBP2,0.280846013499825
2622,-0.00161421805308799,0.00126278867461924,0.201182146692427,7998,TARM1,0.696410562070321
2623,0.00041762537412341,0.00128395633663184,0.744989259944762,8175,TARS1,0.127849988164924
2624,-0.000407465967540899,0.00129040680872293,0.752188537754339,8210,TAX1BP1,0.123673288871569
2625,0.00148530487319725,0.00130484196582053,0.25502374433756,9242,TBC1D17,0.593419382096611
2626,0.00207987832388934,0.00135444369810218,0.124671314025231,9370,TBC1D23,0.904233463070832
2627,0.000838325330994455,0.001352264213175,0.535311098345681,9369,TBC1D5,0.271393752506121
2628,-0.000306225218128208,0.00126073276454674,0.808093236593462,8036,TBCA,0.0925385280843236
2629,0.00141980693266382,0.00134778005668295,0.29216614968545,9344,TBCB,0.534370102763169
2630,0.00154981101508435,0.00134411822980465,0.248926888657644,9344,TBCC,0.60392818910888
2631,0.00109656652358862,0.0013257886040206,0.408199000608541,9190,TBL1X,0.389128062899535
2632,-0.00074605528737798,0.00127178981608266,0.557476619825354,7998,TBR1,0.253773341900887
2633,0.000924742909041963,0.0012974558310985,0.476027250500122,9335,TCL1A,0.322368185088159
2634,-0.00101105502698938,0.00133320248674729,0.448251476487931,9234,TCL1B,0.3484782712482
2635,-0.00389926641150264,0.00126476412415106,0.00205619510781833,8061,TCN1,2.68693567847607
2636,0.000968731706255254,0.00131070772232429,0.459870355091837,9470,TCN2,0.337364585718407
2637,-0.00294644894890779,0.00123898930881406,0.0174245721273318,8211,TCOF1,1.75883787750658
2638,-0.000199778911916692,0.0012768719555495,0.87567466050195,8069,TCP11,0.0576572173397132
2639,0.00106168694141483,0.00122679042220047,0.386834543730709,8211,TCTN3,0.412474751027048
2640,-0.000212217950586831,0.00132171421962722,0.872441381322104,9242,TDGF1,0.0592637433069735
2641,-0.00216550602910386,0.00125969596928307,0.0856403242843419,7998,TDO2,1.06732169688164
2642,-0.00221432392477439,0.00127843369427839,0.0833006609321859,8175,TDP1,1.07935155275813
2643,0.000815606787959907,0.00131783812734828,0.535999131557835,9242,TDRKH,0.270835913963845
2644,-0.00194891733168628,0.00126748188249237,0.124179020950728,7974,TEF,0.905951768530722
2645,-0.00289013019531657,0.00134916979611538,0.032206583391712,9445,TEK,1.49205534450127
2646,6.04066998841976e-07,0.00126271908195475,0.999618315259626,7990,TERF1,0.000165795219336925
2647,0.000910059204294318,0.00127371969152018,0.474945360956444,8054,TET2,0.323356349954104
2648,-0.00128296648370374,0.000888817966321127,0.148932293060847,7998,TEX101,0.827011123755355
2649,0.00027349756292642,0.00126511850108964,0.828850301870746,8069,TEX33,0.0815239000192291
2650,0.00342616704223569,0.00125773730716889,0.00646187145933272,8235,TF,2.18964168529357
2651,0.000321774748093915,0.00127549097651203,0.800834875773356,7962,TFAP2A,0.09645702190972
2652,0.00135930807332974,0.00124951226207354,0.276680120674575,9368,TFF1,0.558022043574929
2653,0.00220447323499356,0.00123449829147554,0.0741761251697991,9432,TFF2,1.12973585719408
2654,-0.00741505869426736,0.00128930025269664,9.13833704782208e-09,9357,TFF3,8.03913282797108
