coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,#NAME?
730,-0.018223495,0.006390462,0.004351316,38687,1,0.359121735,1.96E-08,CTSL,2.361379381
731,-0.057962077,0.006517861,6.21E-19,39166,1,0.132897326,0.928781308,CTSO,18.207112
733,0.032648709,0.006293296,2.14E-07,39017,2,0.001248601,7.60E-12,CTSV,6.67000858
734,-0.057748256,0.006337405,8.44E-20,38684,2,0.010498656,0.12366061,CTSZ,19.07353213
735,-0.015284436,0.006142289,0.012836923,33838,1,0.07498377,2.55E-14,CUZD1,1.891539074
736,-0.027759413,0.0060463,4.42E-06,34444,1,0.134601314,7.23E-126,CWC15,5.354196771
737,0.013787916,0.006552279,0.035359335,38586,1,0.806194349,0.15846155,CX3CL1,1.45149591
738,-0.051797216,0.006623535,5.41E-15,38749,1,1.027606254,8.08E-55,CXADR,14.26697201
739,-0.011112337,0.006681195,0.09627532,38732,1,0.551831942,1.14E-05,CXCL1,1.016485029
740,-0.040698947,0.006316398,1.18E-10,38927,1,0.288661281,2.92E-107,CXCL10,9.927365712
741,-0.022597042,0.006683427,0.000722784,39130,1,4.594774468,2.32E-11,CXCL11,3.140991183
742,0.001347298,0.006548353,0.83699033,38166,1,0.491953821,3.66E-11,CXCL12,0.077279559
743,-0.074235514,0.006695321,1.59E-28,39130,1,1.138202352,5.42E-21,CXCL13,27.79912903
744,0.059152117,0.005647086,1.22E-25,38166,2,0.00342295,4.07E-257,CXCL14,24.91298027
745,-0.034640015,0.006458917,8.23E-08,39052,1,0.229890844,0.945026009,CXCL16,7.08483299
746,-0.026774254,0.005321884,4.90E-07,39166,6,0.000580979,0.038216851,CXCL17,6.309669149
747,0.003347158,0.006739551,0.619442894,38734,1,1.802028125,0.188913201,CXCL3,0.207998725
748,-0.005122824,0.006498496,0.430520747,38555,1,0.559329247,0.229046872,CXCL5,0.366005915
749,-0.015261419,0.006837627,0.025622187,39166,1,2.106784674,0.618412867,CXCL6,1.591383799
750,-0.007305875,0.006590256,0.267615106,38605,1,1.573067389,7.42E-10,CXCL8,0.572489376
751,-0.033009107,0.006190153,9.74E-08,38927,1,0.609967993,9.95E-141,CXCL9,7.011444274
752,-0.020766469,0.006126326,0.000700472,33516,1,0.055753699,0.000802476,CYB5A,3.154609321
753,-0.009016139,0.006017184,0.134038995,34252,2,0.013412088,1.72E-79,CYB5R2,0.872768836
754,-0.007746276,0.00614427,0.207414244,33663,1,0.155794451,0.269587828,CYP24A1,0.683161422
755,-0.006405105,0.006110679,0.294562206,33516,1,0.067829459,0.990854743,CYTH3,0.530822977
756,-0.048107547,0.005890882,3.28E-16,34793,1,0.083167492,1.09E-08,CYTL1,15.48381346
757,0.003117262,0.006098759,0.609262922,33976,1,0.067456302,1.52E-06,DAAM1,0.215195251
758,-0.004452557,0.006844107,0.5153292,39157,1,1.616449313,0.656567707,DAB2,0.287915248
759,-0.01223057,0.006719558,0.068744603,38927,1,1.183631058,6.48E-23,DAG1,1.162761394
760,-0.003264199,0.006144484,0.59525565,33702,1,0.057661124,0.000543868,DAND5,0.225296474
761,-0.013517142,0.006088684,0.026422453,33702,1,0.03601287,6.11E-07,DAPK2,1.578026873
762,-0.004455823,0.006747785,0.509040452,38749,1,1.198070967,0.08667409,DAPP1,0.293247704
763,0.003642729,0.006696136,0.586441402,38518,1,0.815211187,1.86E-07,DARS1,0.231775376
764,-0.00370525,0.00611579,0.54461848,34691,1,0.041639541,0.89638916,DBH,0.263907626
765,-0.020537094,0.006666954,0.00206846,38659,1,0.617159407,2.77E-52,DBI,2.684352889
766,-0.003800761,0.00612835,0.535134757,33702,1,0.130467746,4.60E-13,DBN1,0.271536841
767,-0.000689672,0.006790781,0.919106425,38927,1,1.145732536,0.591692882,DBNL,0.036634198
768,-0.022080153,0.006426331,0.000591231,38977,1,0.487235987,0.803413243,DCBLD2,3.228242719
769,-0.051896228,0.006024485,7.34E-18,33838,2,0.018611639,7.50E-29,DCC,17.13417836
770,-0.004679723,0.006124565,0.444818613,33516,1,0.066354684,0.973430271,DCDC2C,0.351817049
771,0.007453441,0.006144302,0.22511335,33516,1,0.050452418,0.023165091,DCLRE1C,0.647598748
772,0.017495716,0.006077202,0.003992747,38118,1,0.370912787,6.72E-12,DCN,2.398728253
773,0.003874014,0.006136581,0.527849674,33976,1,0.187880265,0.046843929,DCTD,0.277489742
774,-0.002615009,0.006833694,0.70197093,39157,1,1.152048918,2.55E-09,DCTN1,0.153680872
775,0.013763037,0.006742899,0.041246094,38703,1,0.638214391,0.005105125,DCTN2,1.384617172
776,-0.002428802,0.006578384,0.711973603,38047,1,0.364272149,0.976163172,DCTN6,0.147536108
777,0.035435211,0.006499154,5.00E-08,38687,1,0.260065809,7.31E-17,DCTPP1,7.300755454
778,-0.007283975,0.00613498,0.2351233,33653,1,0.200451716,0.031110961,DCUN1D1,0.628704332
779,-0.004639847,0.006103239,0.447124265,33516,1,0.142651908,0.705714173,DCUN1D2,0.349571761
780,-0.031558985,0.006153334,2.93E-07,38977,1,0.036289234,6.30E-21,DCXR,6.533060769
781,-0.013835054,0.006159334,0.024698102,33663,1,0.058313197,0.113686451,DDA1,1.607336413
782,-0.041948535,0.006528053,1.33E-10,38703,1,1.347997498,3.97E-21,DDAH1,9.877379228
783,0.031030322,0.006501399,1.82E-06,38626,1,0.879126138,9.52E-26,DDC,5.739250085
784,0.003507019,0.006180362,0.570415197,34740,1,0.123778611,1.04E-17,DDHD2,0.243808913
785,0.001956388,0.006043291,0.746145272,33976,1,0.077899839,1.98E-55,DDI2,0.127176608
786,-0.019578485,0.006669595,0.003332222,39130,1,0.170527521,0.268229908,DDR1,2.477266102
787,-0.021440031,0.005957517,0.000320108,34793,1,0.080890251,8.01E-85,DDT,3.494703146
