coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
284,0.00172832,0.009885704,0.86121412,31776,1,0.040904064,0.009746153,BRDT,0.064888859
285,-0.006547287,0.010522177,0.533790046,35813,1,0.161043344,1.10294165954763e-08,BRK1,0.272629529
286,-0.002763427,0.009876343,0.779630758,31803,1,0.232854769,0.57993067,BRME1,0.108111035
287,-0.012297267,0.010010568,0.219294978,32799,1,0.068993897,0.400199834,BRSK2,0.658971314
288,-0.022850132,0.0103931,0.027913525,36821,1,0.181794504,0.012835372,BSG,1.554185321
289,0.014862681,0.009933451,0.134604915,31689,1,0.062239761,0.607943178,BSND,0.870939082
290,-0.011380384,0.010921857,0.297426642,36824,1,0.307812991,4.21130503564961e-27,BST1,0.526620132
291,-0.104192892,0.010513607,4.01467997023483e-23,36824,1,1.268139448,7.55352943216265e-16,BST2,22.39634907
292,-0.005699759,0.010474288,0.586330153,35873,1,1.129767519,7.97159953643532e-07,BTC,0.231857771
293,-0.033280377,0.009837652,0.00071793,32864,1,0.115447406,0.970885183,BTD,3.143918098
294,-0.016487632,0.009919659,0.096499245,31689,1,0.043324207,0.015474448,BTLA,1.015476085
295,0.011780471,0.009983999,0.238034618,32642,1,0.084026823,0.000458898,BTN1A1,0.623359878
296,-0.06461102,0.010330138,4.02894514506422e-10,36653,1,0.460105329,0.585053571,BTN2A1,9.394808646
297,-0.063139522,0.010618972,2.77410385933769e-09,36491,1,0.258562615,0.016548535,BTN3A2,8.556877283
298,0.003821314,0.00991906,0.700055084,31689,1,0.161743922,0.008296519,BTNL10,0.154867786
299,-0.124898256,0.010067693,2.87109542764369e-35,35813,1,0.123734289,3.73735195057528e-29,C19orf12,34.54195237
300,0.001950163,0.009869424,0.843362087,31776,1,0.030742557,3.42031109232673e-05,C1GALT1C1,0.073985927
301,-0.072147103,0.01073565,1.8395829730246e-11,36756,1,0.182357793,0.000410687,C1QA,10.73528062
302,-0.009740817,0.010018545,0.330919137,32799,1,0.19512817,0.003725129,C1QBP,0.480278117
303,-0.008830171,0.009411229,0.348118406,31885,1,0.046604008,3.17302167410992e-62,C1QL2,0.458273013
304,-0.014901318,0.010575602,0.158835437,36563,1,0.744918324,0.004759131,C1QTNF1,0.799052597
305,-0.023641604,0.009819065,0.016057893,32092,1,0.136412104,0.00264623,C1QTNF5,1.794311428
306,-0.013004083,0.01000841,0.19384479,32799,1,0.346132167,0.00931925,C1QTNF6,0.712545867
307,0.157846023,0.00980383,4.28557119653857e-58,32031,1,0.033743662,0.004542864,C1QTNF9,57.36799129
308,-0.073413816,0.009695699,3.7775056382747e-14,32864,1,0.034137342,1.53028903026612e-16,C1R,13.42279488
309,-0.07074158,0.009344287,3.81331606011989e-14,32806,2,0.006903491,2.48820280869418e-10,C1RL,13.4186972
310,-0.068844064,0.009673678,1.1285579111987e-12,32864,1,0.001375813,1.16405451489777e-12,C1S,11.94747615
311,-0.069976938,0.01024404,8.56507708362392e-12,36507,1,0.099597659,8.28459361318864e-06,C2,11.06726872
312,-0.015685985,0.010604006,0.139082087,35754,1,0.318910989,0.001121035,C2CD2L,0.856728802
313,-0.052007442,0.009908806,1.54230863296303e-07,31950,1,0.498182588,1.51403452428434e-08,C2orf69,6.81182871
314,-0.086204244,0.008811871,1.43948043151127e-22,31114,4,0.002681696,8.66214398685703e-210,C3,21.84179423
315,-0.026839904,0.010309292,0.009232328,36684,1,0.118350868,0.030490446,C4BPB,2.034688772
316,-0.050122718,0.009805248,3.20847520232545e-07,32864,1,0.036344161,4.17717158573952e-22,C5,6.493701313
317,-0.063536801,0.009574381,3.27156738249211e-11,32086,2,0.035353961,0.000421582,C7,10.48524413
318,-0.008743567,0.009907159,0.377485758,32796,1,0.13432048,0.002877865,C7orf50,0.423099429
319,-0.012595944,0.009790442,0.198258454,32864,1,0.062948545,9.82544052991511e-12,C8B,0.702768285
320,-0.038091548,0.009718753,8.89547355191383e-05,32833,1,0.007667199,2.22272951540447e-23,C9,4.050830927
321,-0.00156796,0.009936271,0.874614039,32712,1,0.085342992,9.9789263415021e-32,C9orf40,0.058183556
322,-0.016648794,0.010309998,0.106358472,35658,1,0.182118283,1.96528696401395e-64,CA1,0.973227911
323,0.011555124,0.010569083,0.274271737,35873,1,0.295251255,2.73429259257698e-09,CA11,0.561818943
324,-0.004335418,0.010725448,0.686054912,36465,1,0.551721688,0.392692179,CA12,0.163641122
