coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
240,-0.02311824,0.012032749,0.054707565,26459,1,0.219560863,5.70E-06,BAX,1.261952611
241,0.020279723,0.012113357,0.094110309,27052,1,0.177191523,0.001387871,BCAM,1.0263628
242,0.00051641,0.011473348,0.964100029,26841,1,0.046951829,1.66E-21,BCAN,0.015877904
243,0.014384422,0.011169504,0.197817464,24228,1,0.008215834,6.30E-20,BCAT1,0.703735369
244,-0.000314211,0.011292669,0.977802511,23442,1,0.228911096,0.000335348,BCAT2,0.009748852
245,-0.027698684,0.010751984,0.009996823,23764,3,0.008836578,2.17E-25,BCHE,2.000138018
246,-0.011969135,0.011088998,0.280433507,24124,1,0.101317069,3.05E-13,BCL2,0.552170096
247,-0.009123597,0.011367145,0.422197274,24194,1,0.214837342,0.002635634,BCL2L1,0.374484575
248,-0.026732759,0.012216713,0.028662717,26957,1,0.620752319,0.928428821,BCL2L11,1.542682642
249,-0.045607667,0.011129376,4.18E-05,23501,1,0.038608952,2.06E-31,BCL2L15,4.378597652
250,-0.003942634,0.011317458,0.727567371,23351,1,0.04821973,0.045778899,BCL7A,0.138126786
251,-0.022940113,0.011362944,0.043513551,24120,1,0.060293684,0.943676837,BCL7B,1.361375474
252,-0.016418918,0.012254838,0.180324677,26957,1,1.872132178,1.53E-05,BCR,0.743944836
253,-0.030469995,0.011295434,0.006990023,24231,1,0.093968321,0.199632317,BDNF,2.155521416
254,-0.014089156,0.011129768,0.205561966,23578,1,0.007842365,5.18E-25,BECN1,0.687057237
255,-0.01164314,0.011268127,0.301483194,23351,1,0.107939273,0.294249095,BEX3,0.520736892
256,-0.025726578,0.010930228,0.018595091,24231,1,0.011846983,2.71E-64,BGLAP,1.730601686
257,0.048278837,0.011834217,4.52E-05,26466,1,0.784317415,6.44E-07,BGN,4.344420086
258,-0.024597643,0.011261652,0.028957805,23442,1,0.036155727,0.001628474,BHLHE40,1.538234355
259,0.00859539,0.011326839,0.447948962,23437,1,0.1175005,0.630270657,BHMT2,0.348771465
260,-0.045716797,0.012192897,0.000177585,26957,1,0.818814759,5.34E-05,BID,3.750593373
261,0.006768654,0.012377814,0.584494831,27052,1,0.861687494,0.165553351,BIN2,0.233219325
262,-0.001841893,0.012126287,0.879272805,26511,1,0.278638852,0.012823735,BIRC2,0.055876359
263,0.064130536,0.012306092,1.89E-07,27233,1,1.117214374,2.28E-15,BLMH,6.723755798
264,-0.014710387,0.010993841,0.180890759,23501,1,0.576074156,2.98E-16,BLNK,0.742583618
265,-0.022451633,0.011295361,0.046858039,23442,1,0.060646399,0.581497002,BLOC1S2,1.329215886
266,-0.000471086,0.011381494,0.966984942,24194,1,0.250035568,0.118650465,BLOC1S3,0.014580289
267,-0.031592281,0.012212912,0.009692536,27052,1,0.067136402,4.75E-30,BLVRB,2.013562586
268,0.024362792,0.010621706,0.021817614,23689,2,0.001360528,8.67E-25,BMP10,1.661192756
269,0.061644736,0.012016517,2.92E-07,26791,1,0.081274698,3.04E-11,BMP4,6.534971914
270,0.030620575,0.012032581,0.010939503,26476,1,0.612090916,0.003844407,BMP6,1.961002404
271,-0.089255344,0.011021693,5.85E-16,23689,1,0.11179218,3.88E-05,BMPER,15.23307741
272,-0.002322551,0.011496787,0.839904788,24228,1,0.215821952,0.998668327,BNIP2,0.075769943
273,-0.012368729,0.010999907,0.260838147,23501,1,0.116465223,8.48E-32,BNIP3L,0.583628894
274,0.021642935,0.011629874,0.062758399,26518,1,0.103599696,2.33E-11,BOC,1.202328144
275,-0.052464763,0.011076077,2.18E-06,23442,1,0.072537409,7.60E-35,BOLA1,5.660688386
276,-0.014483565,0.011080134,0.191169365,23578,1,0.048676089,3.10E-47,BOLA2_BOLA2B,0.718581702
278,0.016547598,0.01139965,0.146627845,26811,1,0.016915276,4.83E-56,BPIFB1,0.833783549
279,-0.063381212,0.010298484,7.65E-10,24174,2,0.00100377,3.58E-40,BPIFB2,9.116127122
280,-0.009806257,0.011303127,0.38563835,23898,1,0.181277509,7.98E-12,BRAP,0.413819783
281,-0.004871686,0.011365016,0.668177236,23799,1,0.067667112,7.79E-05,BRD1,0.175108325
282,-0.025565704,0.01132258,0.023958579,23442,1,0.093873167,0.831467374,BRD2,1.620538945
283,-0.014624945,0.011277712,0.194712541,23437,1,0.037990487,0.098933639,BRD3,0.710606075
284,-0.008996869,0.011329387,0.427134821,23437,1,0.036693254,0.012149818,BRDT,0.369435023
285,0.013036552,0.011937663,0.27482008,26501,1,1.523216186,3.53E-05,BRK1,0.560951538
286,-0.028147873,0.01126517,0.01247304,23442,1,0.163992836,0.162387028,BRME1,1.904027677
287,-0.014317199,0.01144035,0.210776917,24221,1,0.059055576,0.181297264,BRSK2,0.676176951
288,0.005495047,0.011838513,0.642531819,27200,1,0.112159803,0.00368582,BSG,0.192105361
