coding,beta,se,pvalue,n,protein,-Log10P
1751,0.005907273220318,0.00549989716579198,0.282819209117176,9340,MPI,0.548491096536112
1752,0.00316070692583902,0.00551359616226531,0.566484509783777,9402,MPIG6B,0.246811961188767
1753,0.0185190058179862,0.00537648349030471,0.000574736742686215,9387,MPO,3.24053103770918
1754,0.00138873650933631,0.00515603804475198,0.787673517432608,8139,MPRIP,0.103653755808106
1755,0.00966173814979162,0.00475296306668619,0.0421067463664768,8202,MRC1,1.37564831568439
1756,0.00929205550228029,0.00513591812049018,0.0704530369106831,7975,MRI1,1.15210028168699
1757,0.0213880897675852,0.00513092148240132,3.09910605812836e-05,7950,MRPL24,4.50876356100765
1758,-0.00485397716129295,0.00519913467452187,0.350531411718702,8182,MRPL28,0.455273058082936
1759,0.00484064638002772,0.00539411455983536,0.369532172347146,9211,MRPL46,0.432347744915737
1760,0.00299507760211857,0.00508074675448761,0.555545796816609,7895,MRPL52,0.255280133869963
1761,0.00863882716238905,0.005192106462988,0.0961830523474413,8182,MRPL58,1.01690144480623
1762,-0.00451066658928569,0.00512318155565356,0.378646272425175,7966,MRPS16,0.421766314220712
1763,0.00109005554292909,0.0049758742603354,0.826601768581105,9322,MSLN,0.0827036698452699
1764,0.000479192491934593,0.00513534738637922,0.925657590094241,7975,MSLNL,0.0335496334403936
1765,0.000103352456631036,0.00490187071370127,0.983178870146288,9319,MSMB,0.00736746360154377
1766,-0.00541212757613006,0.00494912649870819,0.274179347154078,9466,MSR1,0.561965262000286
1767,0.00668786523535253,0.00552852708832928,0.226424030381174,9416,MSRA,0.645077483366619
1768,-0.00119751885180295,0.00507479220225965,0.813458872937136,8066,MST1,0.0896643993441699
1769,-0.00261220298778814,0.00471472398472116,0.579556634393956,9204,MSTN,0.236904118280232
1770,0.00819725549141777,0.00508483849618761,0.10698041118987,7966,MTDH,0.970695737183679
1771,0.00908343838640861,0.00518148103556033,0.079629500585971,8185,MTHFD2,1.09892600803912
1772,0.00276159587329577,0.00512272947590454,0.589841900410447,8047,MTHFSD,0.229264379850175
1773,0.00279802380325711,0.00516398201267192,0.587947298256405,8171,MTIF3,0.230661600968431
1774,0.00974293600570433,0.00538905822977985,0.0706530837967241,9204,MTPN,1.15086887774079
1775,0.00545567723342163,0.00515255741769122,0.289709892612024,7950,MTR,0.538036674856781
1776,0.00366500139837487,0.00511356737615172,0.473566755008755,8171,MTSS1,0.324618793242535
