coding,beta,se,pvalue,n,-Log10P,protein
214,-0.00765373674666254,0.0061323993027592,0.212009741969909,33657,0.673644182530838,ATP6V1G2
215,-0.0191336241748,0.00598262554204925,0.00138413407429668,34644,2.85882183985975,ATRAID
216,-0.00539051857738467,0.00598252484671111,0.367571129076653,34767,0.434658607664334,ATRN
217,-0.00333688540212077,0.0066055028434752,0.613444118019692,38041,0.212224993395104,ATXN10
218,-0.00042976363503456,0.00612795515406321,0.944089288851164,33648,0.0249869296197628,ATXN2
219,-0.0109061875944689,0.00620165936389608,0.0786556677245422,34734,1.10426997777295,ATXN2L
220,-0.00395590538034549,0.00613421986528143,0.519001854871511,34722,0.284831090014698,ATXN3
221,0.00193250665843101,0.00670922734871303,0.773319850409802,38743,0.111640841738679,AXIN1
222,-0.00539363690766501,0.00659802711365234,0.413669436136984,38813,0.383346565658522,AXL
223,-0.00343253959284915,0.00617109856266525,0.578058387618096,34734,0.238028292825706,AZI2
224,-0.0138948708556946,0.00638178131312865,0.0294665455824884,37400,1.53067077430948,AZU1
225,-0.0353921759138184,0.00570429803455462,5.54978376217807e-10,34767,9.25572393808856,B2M
226,-0.000814775919112176,0.00614249768974021,0.894474379962407,33657,0.048432094224947,B3GAT3
227,0.00576355746044365,0.00591789997986552,0.330103533455898,33855,0.481349826920263,B3GNT7
228,-0.0371375000811091,0.00653701277391606,1.34775427070181e-08,38921,7.87038928332475,B4GALT1
229,-0.0010979227462526,0.00647945270725144,0.865446070851746,38837,0.0627599894422142,B4GAT1
230,-0.0111261366463191,0.00614514374918446,0.0702182692607197,33696,1.1535498792253,BABAM1
231,-0.00436428505012695,0.00670517257353012,0.515125664953537,38743,0.28808681185495,BACH1
232,0.0819450332194661,0.00649347555780886,1.94458173601306e-36,38513,35.7111737975649,BAG3
233,-0.0210828528958281,0.00606034018921085,0.000504256507825613,33696,3.29734848816822,BAG4
234,0.0264079308366484,0.00654884193408596,5.53038401164825e-05,38112,4.25724471167006,BAG6
235,-0.0610390813830218,0.00626480011677943,2.09556141870348e-22,38055,21.6786996059286,BAIAP2
236,-0.01768754810545,0.00643127532017462,0.00595798375699728,38055,2.2249006851183,BAMBI
237,0.00175094590677085,0.00670369698752988,0.79394653960572,38743,0.100208739809548,BANK1
238,-0.0213318831237297,0.00597574745798019,0.000357813739547897,34722,3.44634298714687,BAP18
239,-0.0164701313899035,0.00616531010666975,0.00755672891355673,33832,2.12166615717327,BATF
240,-0.0156803290606432,0.00657609456540923,0.0171098318633748,37985,1.76675425820684,BAX
241,-0.00883314606918676,0.00661631268470187,0.181865940185097,38837,0.740248627900238,BCAM
242,0.00575183381392898,0.00622054045460884,0.355152854161266,38580,0.449584690800437,BCAN
243,0.000142727095958886,0.00608113714402667,0.981275134925107,34775,0.00820920584468125,BCAT1
244,0.000811317841070748,0.00612128197291773,0.894557575335968,33648,0.0483917022223598,BCAT2
245,-0.0094091205381708,0.00578413043891446,0.103807298699838,34094,0.983772110132762,BCHE
246,-0.00537936761059779,0.00602070603138321,0.371607526340171,34644,0.429915498621065,BCL2
247,-0.00183452357046448,0.00620354701353344,0.767444380436928,34722,0.114953089654839,BCL2L1
248,-0.0163755692683869,0.00662568016572882,0.0134578827114524,38743,1.87102326099334,BCL2L11
249,-0.0201492702846343,0.00606636367400529,0.000896384820992372,33696,3.04750550623678,BCL2L15
250,-0.00892732408799997,0.00613907653256394,0.145905698130768,33510,0.835927747048105,BCL7A
251,-0.0131892018310354,0.00621057377593221,0.0337049208016192,34621,1.47230668901058,BCL7B
252,-0.00747709360571812,0.00668512370913288,0.263374316769418,38743,0.579426578004276,BCR
253,-0.0112432512624613,0.00615921369052876,0.0679438130971109,34787,1.16785008359839,BDNF
254,-0.00685074524872833,0.00606980620408894,0.259049444993484,33855,0.58661733384019,BECN1
255,-0.00770081247781051,0.00613283495364563,0.209244659036524,33510,0.6793456185465,BEX3
256,-0.0117877070925285,0.00590575670295252,0.0459450865540344,34787,1.33776092598769,BGLAP
257,0.00644436857632961,0.00645905317780365,0.318418352710841,37989,0.497001908737936,BGN
258,-0.0107075001875257,0.00614071430749813,0.0812223519216591,33648,1.09032443898031,BHLHE40
259,-0.00536806892447776,0.00615756299468993,0.383332089336993,33657,0.416424823744197,BHMT2
260,-0.018502803434159,0.00665087049263214,0.00540491237229568,38743,2.26721134269808,BID
261,0.00455023984393886,0.00675070438315628,0.500290361790186,38837,0.300777863819884,BIN2
262,0.00183315075875314,0.00662241807680056,0.781927597704198,38055,0.106833458414919,BIRC2
263,0.0421359450303224,0.00668578022351917,2.96337199893464e-10,39115,9.52821382710792,BLMH
264,-0.0115314754889472,0.00603523619694837,0.0560526980702522,33696,1.2514034780053,BLNK
265,-0.0146222572565975,0.00613622759036125,0.0171805499504394,33648,1.76496293848973,BLOC1S2
266,0.00456586866187976,0.00619473521410301,0.461093090536555,34722,0.336211385619087,BLOC1S3
267,-0.0123625390113147,0.00662913838047606,0.062205946950455,38837,1.20616809433961,BLVRB
268,0.0208735751920005,0.00574330795333781,0.000279021126921579,33971,3.55436291157198,BMP10
269,0.0403612305964929,0.00650814801711408,5.6442444688196e-10,38513,9.24839418393966,BMP4
270,0.0208935192796813,0.00652717160710888,0.00137060902585196,38047,2.86308641255598,BMP6
271,-0.0574080710363093,0.00601939319611116,1.56168977004057e-21,33971,20.8064052345693,BMPER
272,0.000613318835261439,0.00622691181225858,0.921539917595581,34775,0.0354858480563868,BNIP2
273,-0.0170640198817929,0.0060279419332906,0.00464563049617031,33696,2.33295533604589,BNIP3L
274,0.0116416159776436,0.00631699671610828,0.065350850849362,38112,1.18474875365685,BOC
275,-0.0255722094323939,0.00604905315717287,2.36953692975887e-05,33648,4.62533651833596,BOLA1
276,-0.00205593306558866,0.00604741144350791,0.733881903126352,33855,0.134373821483185,BOLA2_BOLA2B
278,0.00461142634434141,0.00620806997933137,0.457600287123419,38527,0.339513711714863,BPIFB1
279,-0.0244092437988096,0.00558051733784796,1.22339461917767e-05,34705,4.91243343397929,BPIFB2
280,-0.00299316381829821,0.00615986655729876,0.62703142651297,34329,0.202710691993625,BRAP
281,-0.00654125912470506,0.00616154105157859,0.288412506538351,34141,0.539985911071793,BRD1
282,-0.013873061933062,0.00615848248063979,0.0242860419529803,33648,1.61464325909552,BRD2
283,-0.0156072155707507,0.00616279701615722,0.0113301001888802,33657,1.94576624977602,BRD3
284,-0.00274377856467908,0.00613012971449929,0.654452732746116,33657,0.184121714504858,BRDT
285,0.0186799654592166,0.00649252278117425,0.00401507320302149,38041,2.39630653223375,BRK1
286,-0.0140793029362075,0.00615180502223633,0.0221061095248654,33648,1.65548768259326,BRME1
287,-0.000948073716957045,0.00620275887669218,0.878519740539037,34734,0.0562484753629356,BRSK2
288,-0.00870774232230891,0.00637416275675187,0.17191551006796,39090,0.764684939874526,BSG
289,-0.00297349349194927,0.00614940608961297,0.628714409838268,33510,0.201546585710688,BSND
290,-0.0052156563044995,0.00676258220702905,0.440562127325454,39124,0.355992839460596,BST1
291,-0.0312852423616788,0.00657078242913401,1.93070186405921e-06,39124,5.71428478411309,BST2
292,0.00519177260397566,0.00650920520811828,0.425104907001191,38055,0.37150388192716,BTC
293,-0.00651831532358765,0.00607544126957976,0.28332532793469,34767,0.547714599886216,BTD
294,-0.0112045110781116,0.00613308914947626,0.0677244238248365,33510,1.16925468110112,BTLA
295,0.00117658523825618,0.00617765951932838,0.848951300244594,34547,0.0711172221726115,BTN1A1
296,-0.0487265795416741,0.00636461272983475,1.96452276485221e-14,38921,13.7067429342269,BTN2A1
297,-0.0350622725451925,0.0065697979607405,9.50863659448931e-08,38743,7.02188175035372,BTN3A2
298,-0.00116451337827989,0.006126884411439,0.849258440736917,33510,0.0709601280054772,BTNL10
299,-0.0575614792578472,0.00623874174141984,2.936884239557e-20,38041,19.5321131713228,C19orf12
300,-0.00126495826077443,0.00615922108446189,0.837279349706923,33657,0.0771296199094987,C1GALT1C1
301,-0.036993733158179,0.00664525360743348,2.60952911872744e-08,39016,7.58343785265712,C1QA
302,-0.00487205070753439,0.00621568230261998,0.433144040087469,34734,0.363367656966078,C1QBP
303,-0.0011001982088175,0.00579942071775628,0.849538864595972,33696,0.0708167482917168,C1QL2
304,-0.0218741638823007,0.00657037511252192,0.000871735416250138,38813,3.05961530944676,C1QTNF1
305,-0.0201050835772034,0.0060887104145752,0.000960880390577368,33971,3.01733066950645,C1QTNF5
306,-0.0158837900760722,0.00619623959591089,0.0103677440723846,34734,1.98431573189429,C1QTNF6
307,0.0732201416389997,0.00607825223663413,2.37479058701406e-33,33914,32.6243746811608,C1QTNF9
308,-0.0146187863858408,0.00601602674895826,0.0151049501024035,34767,1.82088070503397,C1R
309,-0.0211232560083099,0.00579042409465234,0.000264714221653239,34703,3.57722272579495,C1RL
310,-0.0185899046723148,0.00598477409511908,0.00189661096378243,34767,2.72202174323346,C1S
311,-0.0319928845761576,0.00632948599421084,4.3330306953794e-07,38748,6.36320823439358,C2
312,-0.00553206694868761,0.00658390340132965,0.400778450428001,37971,0.397095638218185,C2CD2L
313,-0.00852085881327777,0.00613051338350468,0.164565508400473,33832,0.78366118419683,C2orf69
314,-0.0334786868037618,0.00551193365655909,1.26239591097739e-09,32984,8.89880442085426,C3
315,-0.0165476336235885,0.00636047736519677,0.00928159223387012,38971,2.03237751526089,C4BPB
316,-0.0258861549795192,0.00610258534858549,2.22273687405809e-05,34767,4.65311194571675,C5
317,-0.0445009914062046,0.00594280007114077,7.15081072593773e-14,33927,13.1456447171023,C7
318,-0.00249470723305029,0.0061513124513426,0.685070699522397,34722,0.164264606860796,C7orf50
319,0.00499460273686727,0.00605059141757087,0.409108500898019,34767,0.388161496168349,C8B
320,-0.0103204128966605,0.00597510523428293,0.0841342965630949,34751,1.07502693200443,C9
321,0.00418740059001167,0.00615206074410634,0.49609748618575,34644,0.304432973605668,C9orf40
322,-0.00537645551685059,0.00637203741661977,0.398810163823865,37838,0.399233782064565,CA1
323,0.0113340335998923,0.00656787048527238,0.0844133694248422,38055,1.07358876418464,CA11
324,-0.0281812710232404,0.0066377707944429,2.18524442446317e-05,38697,4.66049997917013,CA12
325,0.00156918703195106,0.00670479166289717,0.81495544715186,38563,0.0888661330820946,CA13
326,0.126152147543264,0.00604341545758029,3.07272665341596e-96,39151,95.5124760724131,CA14
327,-0.0103689731421765,0.00655463741574139,0.11367388018487,38702,0.944339315389203,CA2
328,0.0171525013676861,0.00659651608013438,0.00931946515821431,39045,2.03060901098307,CA3
329,0.0525702577741789,0.00656250462775111,1.17192074356326e-15,39115,14.9311017584519,CA4
330,-0.0548662965808633,0.00609913720416054,2.45176913381162e-19,38112,18.6105204267442,CA5A
331,0.100182459823477,0.00612511515591447,6.26591873630701e-60,38711,59.2030152418517,CA6
332,-0.0041197565013716,0.00616643334022482,0.50407817352994,34141,0.297502107006851,CA7
333,-0.00456378068939155,0.00613977272564043,0.457296617996068,33696,0.339802010495716,CA8
334,-0.0214152821129179,0.00652693289693487,0.00103506853627714,39151,2.98503089277564,CA9
335,-0.00602386776648989,0.00615204158563703,0.327505145222146,33832,0.48478187269805,CABP2
336,-0.00452565330864132,0.00614271871509817,0.461279009093324,33648,0.336036307894134,CACNA1C
337,0.00804410966179818,0.00611725041439601,0.18852296600614,33657,0.724635736162736,CACNA1H
338,0.00150532923795941,0.00615521832667327,0.806797493094163,33648,0.0932354599102676,CACNB1
339,-0.0060393947010145,0.00616286065154213,0.327109666290253,34734,0.485306622018431,CACNB3
340,-0.00248822876182918,0.00612747507626163,0.684688341116715,33902,0.164507067242635,CACYBP
341,0.00212212959756339,0.00613623015850054,0.729468082546184,33832,0.136993705658558,CADPS
342,-0.0433106901336415,0.00638344849350847,1.17884289376992e-11,38697,10.928544070151,CALB1
343,-0.0295785941615562,0.00599425887151202,8.07007257334316e-07,38041,6.09312255969419,CALB2
344,-0.0128738303942509,0.0053293682631994,0.0157122465901727,38512,1.80376171362593,CALCA
345,-0.00595085009304358,0.00607006578313981,0.326915248028778,34722,0.485564822520517,CALCB
346,0.00735069560141065,0.00680465143611411,0.280039452890003,39017,0.552780779495612,CALCOCO1
347,-0.00758424485118551,0.00611823949498867,0.215127430243052,33855,0.667304210515932,CALCOCO2
348,-0.00579038316924586,0.00615339979853653,0.346708787694947,33657,0.460035150558608,CALY
349,-0.0135775608095634,0.00657664161306512,0.0389758837498435,38055,1.40920402871567,CAMKK1
350,0.00916880352298683,0.00614500526630725,0.135689035450128,33832,0.867455244719737,CAMLG
351,-0.000241294713645531,0.00618864837224511,0.968898674001348,34734,0.0137216384528607,CAMSAP1
352,-0.00656790263636805,0.00646447086302995,0.309635733881068,38634,0.509148924824305,CANT1
353,-0.0297230227768225,0.00642486142688425,3.73553041110027e-06,38560,5.42764772363196,CAPG
354,0.045960017318668,0.00616586930451737,9.27080900799645e-14,34621,13.0328823659226,CAPN3
355,0.0360354988383742,0.00584548468073611,7.14058449921728e-10,34722,9.1462662371881,CAPS
356,-0.00435953673813445,0.00647302203378281,0.500637625979589,38041,0.300476513614646,CARHSP1
357,-0.0142027581173064,0.0060822861983025,0.0195439155929516,33832,1.70898842167904,CASC3
358,-0.0179508542231431,0.00654666855102737,0.0061098045613556,38041,2.21397268162035,CASP1
359,-0.00731254679046191,0.00656858339500459,0.265603448804171,38041,0.575766290046127,CASP10
360,-0.00416235680932758,0.00673217712244424,0.53639575666608,38743,0.27051466643527,CASP2
361,0.0020372332635827,0.00686343067483439,0.766602200358267,39115,0.115429938535773,CASP3
362,-0.0102946511130302,0.00616186252060845,0.0947892400004118,34141,1.02324095879764,CASP4
363,-0.00613329345328251,0.00619306622332622,0.322010743365852,34722,0.492129638531894,CASP7
364,-0.00401537194298115,0.00676348925240939,0.55272726562045,39030,0.257489111469535,CASP8
365,-0.0067488118595921,0.00614360895349995,0.271989990918607,33696,0.565447077468737,CASP9
366,0.00349843432207293,0.0061371617592474,0.568653642065361,33657,0.245152174975945,CASQ2
367,0.00189598936024718,0.00596628754751139,0.750650900446093,34234,0.124561990104966,CAT
368,-0.0475488195633061,0.00651322530640167,2.92545089341342e-13,38620,12.5338071875545,CBLIF
369,-0.00259184392726998,0.00612341089412332,0.672102439830931,33648,0.172564528043371,CBLN1
370,-0.0687901868915312,0.00672929217492801,1.68796001691007e-24,39151,23.77263784482,CBLN4
371,-0.0459461109256892,0.00597296657134755,1.4837378090796e-14,33855,13.8286428363415,CBS
372,-0.000547542816457488,0.00613516393380865,0.928886424715478,33657,0.0320373841061708,CBX2
373,-0.00948422352421089,0.00664076884211603,0.153247708356729,38580,0.814606011135606,CC2D1A
374,-0.0157076938970994,0.00620613873717575,0.0113783894408016,34722,1.94391920599655,CCAR2
375,-0.00732099805428917,0.00618308948340818,0.236407104132164,34621,0.626339476864217,CCDC134
376,0.00369491491993006,0.00614495441941375,0.547649223745558,33832,0.261497523576185,CCDC28A
377,-0.00553982548351104,0.00619965695465737,0.371558368446173,34734,0.429972952824187,CCDC50
378,-0.055754865378491,0.00593260432065806,5.85253304333203e-21,38681,20.2326561256029,CCDC80
379,-0.0638750143979742,0.0059238659968829,4.60040275507096e-27,33855,26.3372041451341,CCER2
380,-0.0316123705925523,0.00642097150654673,8.54425386880625e-07,39160,6.0683258562678,CCL11
381,-0.0184533025364848,0.00673361601439744,0.00613784134729467,39091,2.21198434152899,CCL13
382,-0.0275747320480174,0.00647735397408205,2.07586859232695e-05,38551,4.68280014188021,CCL14
383,-0.0443111946275003,0.00658272358300715,1.70310501930265e-11,39115,10.7687585711229,CCL15
384,-0.0297815774009771,0.00616071755255786,1.34250673774906e-06,39115,5.87208352599348,CCL16
385,-0.0149294107178009,0.00660396893409638,0.0237850842944892,38665,1.62369530509896,CCL17
386,-0.0152334634156528,0.00618018661257196,0.0137100088137659,38154,1.86296226601511,CCL18
387,-0.0511201884554638,0.00667782513357522,1.97414623892772e-14,39124,13.7046206792211,CCL19
388,-0.00388937498933192,0.0064986407270717,0.549516191206187,38513,0.260019506792978,CCL2
389,-0.0789983913071337,0.00655702967350216,2.27973914573733e-33,39160,32.6421148433715,CCL20
390,-0.0366090640142565,0.00655850914621645,2.39462134520149e-08,38921,7.62076315059626,CCL21
391,-0.0483508880007678,0.00624974064961004,1.04711668026918e-14,38406,13.9800049221667,CCL22
392,-0.0145097140510631,0.00636556343436676,0.022648233049894,38921,1.64496567473787,CCL23
393,-0.0122162906647609,0.00664276918901434,0.0659175422588802,38857,1.18099899371544,CCL24
394,-0.0133016069577056,0.00666680816171471,0.0460281325642466,39160,1.33697664477787,CCL25
395,-0.0141033640831159,0.00662366112490066,0.0332407003789168,38743,1.47832983424129,CCL26
396,-0.0476463206610396,0.00635617103928521,6.71615757688218e-14,38681,13.1728791228426,CCL27
397,-0.0298155021800091,0.00656396722668388,5.58122648629962e-06,38612,5.25327035344565,CCL28
398,-0.0333192147760124,0.00615397102817933,6.19070779079146e-08,38743,7.20825969475011,CCL3
399,-0.0302063232459161,0.00657565686018413,4.36910028028293e-06,38792,5.35960798718017,CCL4
400,-0.0104612356732698,0.00666644011793882,0.116600490065114,38813,0.933299624258587,CCL5
401,-0.0230468937121508,0.00616993726426657,0.000187720765988497,38743,3.72648768233138,CCL7
402,-0.0187297874360631,0.00671561149755252,0.00528979289307729,39091,2.27656133120762,CCL8
403,-0.0124599011494437,0.00649446541254811,0.055049754880641,38630,1.25924461046556,CCN1
404,-0.0150032048231421,0.00669213492481489,0.0249724368251378,38731,1.60253907686875,CCN2
